District,School,Subject,Scored,County,Year,Baseline,Score
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Math,45,Columbia,2017,Basic,15.6
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Science,45,Columbia,2017,Basic,15.6
MILLVILLE AREA SD,MILLVILLE AREA JSHS,English,45,Columbia,2017,Basic,13.3
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Math,93,Columbia,2017,Basic,11.8
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Science,93,Columbia,2017,Basic,16.1
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,English,93,Columbia,2017,Basic,9.7
SUSQ-CYBER CS,SUSQ-CYBER CS,Math,14,Columbia,2017,Basic,57.1
SUSQ-CYBER CS,SUSQ-CYBER CS,Science,14,Columbia,2017,Basic,21.4
SUSQ-CYBER CS,SUSQ-CYBER CS,English,14,Columbia,2017,Basic,35.7
DANVILLE AREA SD,DANVILLE AREA SHS,Math,135,Montour,2017,Basic,14.8
DANVILLE AREA SD,DANVILLE AREA SHS,Science,140,Montour,2017,Basic,17.1
DANVILLE AREA SD,DANVILLE AREA SHS,English,142,Montour,2017,Basic,5.6
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Math,40,Columbia,2017,BelowBasic,12.5
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Science,39,Columbia,2017,BelowBasic,5.1
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,English,40,Columbia,2017,BelowBasic,12.5
BERWICK AREA SD,BERWICK AREA HS,Math,157,Columbia,2017,BelowBasic,2.5
BERWICK AREA SD,BERWICK AREA HS,Science,156,Columbia,2017,BelowBasic,14.7
BERWICK AREA SD,BERWICK AREA HS,English,155,Columbia,2017,BelowBasic,4.5
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Math,109,Columbia,2017,BelowBasic,1.8
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Science,109,Columbia,2017,BelowBasic,2.8
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,English,110,Columbia,2017,BelowBasic,2.7
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Math,122,Columbia,2017,BelowBasic,2.5
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Science,125,Columbia,2017,BelowBasic,4
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,English,125,Columbia,2017,BelowBasic,0.8
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,Math,152,Columbia,2017,BelowBasic,8.6
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,Science,152,Columbia,2017,BelowBasic,17.1
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,English,152,Columbia,2017,BelowBasic,7.2
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Math,45,Columbia,2017,BelowBasic,8.9
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Science,45,Columbia,2017,BelowBasic,15.6
MILLVILLE AREA SD,MILLVILLE AREA JSHS,English,45,Columbia,2017,BelowBasic,8.9
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Math,93,Columbia,2017,BelowBasic,3.2
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Science,93,Columbia,2017,BelowBasic,5.4
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,English,93,Columbia,2017,BelowBasic,2.2
SUSQ-CYBER CS,SUSQ-CYBER CS,Math,14,Columbia,2017,BelowBasic,14.3
SUSQ-CYBER CS,SUSQ-CYBER CS,Science,14,Columbia,2017,BelowBasic,42.9
SUSQ-CYBER CS,SUSQ-CYBER CS,English,14,Columbia,2017,BelowBasic,14.3
DANVILLE AREA SD,DANVILLE AREA SHS,Math,135,Montour,2017,BelowBasic,3.7
DANVILLE AREA SD,DANVILLE AREA SHS,Science,140,Montour,2017,BelowBasic,2.1
DANVILLE AREA SD,DANVILLE AREA SHS,English,142,Montour,2017,BelowBasic,2.1
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Math,36,Columbia,2018,Advanced,13.9
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Science,35,Columbia,2018,Advanced,37.1
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,English,35,Columbia,2018,Advanced,8.6
BERWICK AREA SD,BERWICK AREA HS,Math,155,Columbia,2018,Advanced,22.6
BERWICK AREA SD,BERWICK AREA HS,Science,155,Columbia,2018,Advanced,31.6
BERWICK AREA SD,BERWICK AREA HS,English,154,Columbia,2018,Advanced,9.1
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Math,75,Columbia,2018,Advanced,25.3
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Science,76,Columbia,2018,Advanced,17.1
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,English,77,Columbia,2018,Advanced,2.6
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Math,128,Columbia,2018,Advanced,41.4
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Science,128,Columbia,2018,Advanced,42.2
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,English,129,Columbia,2018,Advanced,15.5
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,Math,137,Columbia,2018,Advanced,8
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,Science,138,Columbia,2018,Advanced,14.5
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,English,138,Columbia,2018,Advanced,1.4
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Math,42,Columbia,2018,Advanced,31
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Science,42,Columbia,2018,Advanced,33.3
MILLVILLE AREA SD,MILLVILLE AREA JSHS,English,41,Columbia,2018,Advanced,0
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Math,106,Columbia,2018,Advanced,22.6
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Science,107,Columbia,2018,Advanced,13.1
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,English,107,Columbia,2018,Advanced,15.9
SUSQ-CYBER CS,SUSQ-CYBER CS,Science,11,Columbia,2018,Advanced,0
DANVILLE AREA SD,DANVILLE AREA SHS,Math,147,Montour,2018,Advanced,60.5
DANVILLE AREA SD,DANVILLE AREA SHS,Science,155,Montour,2018,Advanced,58.7
DANVILLE AREA SD,DANVILLE AREA SHS,English,156,Montour,2018,Advanced,27.6
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Math,36,Columbia,2018,Proficient,61.1
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Science,35,Columbia,2018,Proficient,48.6
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,English,35,Columbia,2018,Proficient,74.3
BERWICK AREA SD,BERWICK AREA HS,Math,155,Columbia,2018,Proficient,54.2
BERWICK AREA SD,BERWICK AREA HS,Science,155,Columbia,2018,Proficient,39.4
BERWICK AREA SD,BERWICK AREA HS,English,154,Columbia,2018,Proficient,68.8
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Math,75,Columbia,2018,Proficient,45.3
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Science,76,Columbia,2018,Proficient,42.1
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,English,77,Columbia,2018,Proficient,77.9
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Math,128,Columbia,2018,Proficient,46.1
