Subject,Grade,Scored,Year,District,School,County,Category,Score,Students
English,3,63,2016,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Advanced,15.9,11
English,4,67,2016,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Advanced,19.4,13
English,5,64,2016,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Advanced,12.5,8
Math,3,62,2016,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Advanced,29,18
Math,4,67,2016,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Advanced,17.9,12
Math,5,64,2016,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Advanced,23.4,15
Science,4,67,2016,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Advanced,35.8,24
English,3,39,2016,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,Advanced,7.7,4
English,4,35,2016,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,Advanced,31.4,11
English,5,36,2016,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,Advanced,8.3,3
Math,3,39,2016,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,Advanced,33.3,13
Math,4,35,2016,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,Advanced,40,14
Math,5,36,2016,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,Advanced,27.8,11
Science,4,35,2016,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,Advanced,57.1,20
English,3,133,2016,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Columbia,Advanced,15.8,22
English,4,141,2016,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Columbia,Advanced,50.4,72
Math,3,133,2016,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Columbia,Advanced,33.1,45
Math,4,141,2016,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Columbia,Advanced,36.2,52
Science,4,141,2016,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Columbia,Advanced,69.5,98
English,5,141,2016,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Advanced,15.6,22
English,6,120,2016,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Advanced,29.2,36
